Time,Near?,Light Intensity
1508,0,40
1513,1,45
1518,1,46
1523,0,65
1528,0,813
1533,0,914
1538,0,1340
1543,0,1789
1548,1,219
1553,1,727
1558,1,3308
1603,1,9290
1608,0,45410
1613,0,53683
1618,0,18751
1623,0,85
1628,1,40
1633,1,41
1638,1,38
1643,1,2565
1648,0,2690
1653,0,2637
1658,0,2659
1703,0,1976
1708,0,2995
1713,0,2089
1718,0,1667
1723,0,1457
1728,0,2105
1733,0,5866
1738,0,4912
1743,0,1771
1748,0,3304
1753,1,1298
1758,1,3872
1803,1,1914
1808,0,2937
1813,0,1772
1818,0,4769
1823,0,11385
1828,0,25809
1833,0,26501
1838,0,2075
1843,0,620
1848,0,4055
1853,0,610
1858,0,3681
1903,0,782
1908,0,438
1913,0,124
1918,1,5126
1923,1,1582
1928,1,2260
1933,1,2098
1938,1,10166
1943,1,3119
1948,1,4861
1953,1,2095
1958,1,2830
2003,0,1051
2008,0,1085
2013,0,1523
2018,0,17550
2023,1,11541
2028,1,18186
2033,1,10216
2038,0,6802
2043,1,11680
2048,1,5013
2053,1,6876
2058,1,54
